# Current Final Terms Part 2
Generated: 2026-04-23
Source: docs/current-terms-final.txt
Part: 2 / 5
Terms in this file: 191
Format: id | category | slug | term_en | term_tr | term_ru

term_477 | Finance | yield | Yield | Getiri | Доходность
term_478 | Finance | coupon | Coupon | Kupon (Faiz Ödemesi) | Купон
term_479 | Finance | maturity | Maturity | Vade Sonu | Зрелость (Погашение)
term_480 | Finance | principal | Principal | Anapara | Основной долг
term_483 | Finance | pip | Pip | Pip (Fiyat Adımı) | Пункт (Пип)
term_484 | Finance | lot | Lot | Lot | Лот
term_486 | Finance | asset-allocation | Asset Allocation | Varlık Dağılımı | Распределение активов
term_487 | Finance | rebalancing | Rebalancing | Yeniden Dengeleme | Ребалансировка
term_494 | Finance | white-paper | White Paper | Tanıtım Belgesi (Whitepaper) | Белая книга
term_495 | Finance | roadmap | Roadmap | Yol Haritası (Roadmap) | Дорожная карта
term_609 | Finance | capex | CAPEX | CAPEX (Sermaye Harcaması) | CAPEX
term_610 | Finance | opex | OPEX | OPEX (Faaliyet Gideri) | OPEX
term_613 | Finance | dividend-yield | Dividend Yield | Temettü Verimi | Дивидендная доходность
term_617 | Finance | bear-trap | Bear Trap | Ayı Tuzağı | Медвежья ловушка
term_618 | Finance | bull-trap | Bull Trap | Boğa Tuzağı | Бычья ловушка
term_619 | Finance | dead-cat-bounce | Dead Cat Bounce | Ölü Kedi Sıçraması | Отскок дохлой кошки
term_620 | Finance | black-swan | Black Swan | Siyah Kuğu | Черный лебедь
term_625 | Finance | gdp | GDP | GSYİH (Gayri Safi Yurt İçi Hasıla) | ВВП
term_632 | Finance | treasury-bill | Treasury Bill | Hazine Bonosu | Казначейский вексель
term_633 | Finance | junk-bond | Junk Bond | Çöp Tahvil | Мусорная облигация
term_637 | Finance | liquidation | Liquidation | Tasfiye (Likidasyon) | Ликвидация
term_638 | Finance | solvency | Solvency | Ödeme Gücü (Solvency) | Платежеспособность
term_641 | Finance | income-statement | Income Statement | Gelir Tablosu | Отчет о прибылях и убытках
term_642 | Finance | cash-flow-statement | Cash Flow Statement | Nakit Akış Tablosu | Отчет о движении денежных средств
term_646 | Finance | tax-evasion | Tax Evasion | Vergi Kaçırma | Уклонение от налогов
term_647 | Finance | tax-avoidance | Tax Avoidance | Vergiden Kaçınma | Оптимизация налогов
term_648 | Finance | offshore-account | Offshore Account | Offshore Hesap | Оффшорный счет
term_649 | Finance | shell-company | Shell Company | Paravan Şirket | Фирма-однодневка
term_650 | Finance | holding-company | Holding Company | Holding Şirketi | Холдинг
term_651 | Finance | subsidiary | Subsidiary | İştirak (Bağlı Ortaklık) | Дочерняя компания
term_652 | Finance | merger | Merger | Birleşme | Слияние
term_653 | Finance | acquisition | Acquisition | Satın Alma (Acquisition) | Поглощение
term_654 | Finance | joint-venture | Joint Venture | Ortak Girişim | Совместное предприятие
term_658 | Finance | seed-capital | Seed Capital | Tohum Sermayesi | Посевной капитал
term_903 | Finance | accrual-accounting | Accrual Accounting | Tahakkuk Esası | Метод начисления
term_906 | Finance | book-value | Book Value | Defter Değeri | Балансовая стоимость
term_907 | Finance | burn-rate | Burn Rate | Nakit Yakma Hızı | Скорость сжигания
term_911 | Finance | operating-margin | Operating Margin | Faaliyet Kar Marjı | Операционная маржа
term_912 | Finance | net-margin | Net Margin | Net Kar Marjı | Чистая маржа
